siteId,daily_average_flow,weekly_average_flow,monthly_average_flow,daily_Before_COVID,daily_1st_Lockdown,daily_2nd_Lockdown,daily_Post_COVID
GA4501_T,839.4588957055215,5749.235294117647,23591.689655172413,973.9855072463768,443.75384615384615,507.55384615384617,1212.3676470588234
GA4501_V,1190.3717791411043,8152.546218487395,33453.55172413793,1513.1739130434783,1054.6153846153845,751.0461538461539,1659.8235294117646
GA4551_S,935.0638036809816,6404.008403361345,26278.51724137931,1651.7391304347825,479.4,533.3076923076923,799.0882352941177
GA4551_T,1280.5484662576687,8770.142857142857,35987.8275862069,1861.3478260869565,1470.6307692307691,1029.6307692307691,1096.4264705882354
GA4551_V,448.9742331288343,3074.90756302521,12617.724137931034,458.5507246376812,374.66153846153844,412.2923076923077,614.25
GA4721_S,454.6098159509202,3113.5042016806724,12776.103448275862,525.5072463768116,424.33846153846156,317.5692307692308,511.7647058823529
GA4721_T,1072.3914110429448,7344.529411764706,30137.896551724138,1237.1159420289855,1003.5230769230769,707.7692307692307,1288.1911764705883
GA4751_D,1074.801226993865,7361.033613445378,30205.620689655174,1440.2173913043478,774.5384615384615,725.7846153846153,1204.5441176470588
GA4851_S,795.4441717791411,5447.789915966387,22354.724137931036,898.0434782608696,515.3076923076923,585.9692307692308,890.8676470588235
GA4851_V,869.0515337423313,5951.90756302521,24423.344827586207,1131.3478260869565,734.3384615384615,574.3384615384615,995.7794117647059
GA5151_P,852.7950920245398,5840.571428571428,23966.48275862069,1045.5652173913043,619.0615384615385,572.0615384615385,995.9117647058823
GA5151_R,1432.0085889570553,9807.453781512606,40244.379310344826,1834.304347826087,924.7384615384616,1277.076923076923,1403.735294117647
GA5151_T,1146.8024539877301,7854.151260504202,32229.103448275862,1731.840579710145,719.4461538461538,939.6615384615385,1058.6323529411766
GA5151_V,1673.9349693251534,11464.344537815126,47043.34482758621,1971.6521739130435,811.5692307692308,1280.0153846153846,2025.7205882352941
GA5171_B,936.0478527607362,6410.747899159664,26306.172413793105,1106.9420289855072,523.5076923076923,691.6769230769231,1082.8823529411766
GA5171_D,364.81963190184047,2498.5546218487393,10252.689655172413,518.7101449275362,259.26153846153846,197.04615384615386,431.4264705882353
GA5201_A,539.2993865030675,3693.5210084033615,15156.172413793103,509.8985507246377,312.9076923076923,715.5076923076923,622.5441176470588
GA5201_B,818.5889570552147,5606.302521008403,23005.172413793105,998.4347826086956,604.9384615384615,700.9846153846154,838.7058823529412
GA5201_D,983.1509202453988,6733.344537815126,27629.931034482757,1262.8695652173913,452.4769230769231,871.7538461538461,1168.485294117647
GA5251_R,548.9644171779141,3759.714285714286,15427.793103448275,667.3623188405797,386.7076923076923,363.2769230769231,631.5147058823529
GA5251_T,1622.4613496932516,11111.81512605042,45596.75862068965,2061.9710144927535,697.7846153846153,1179.2615384615385,2012.8382352941176
GA5251_V,1587.276073619632,10870.840336134454,44607.93103448276,2131.391304347826,834.1384615384616,1063.076923076923,2082.8088235294117
GA5301_B,574.3570552147239,3933.621848739496,16141.413793103447,833.8260869565217,455.6461538461538,381.4769230769231,682.6911764705883
GA5351_R,927.4257668711656,6351.697478991597,26063.862068965518,1267.1304347826087,467.6307692307692,738.6461538461539,1018.6617647058823
GA5351_T,2543.516564417178,17419.882352941175,71481.58620689655,3532.449275362319,1075.0461538461539,1831.3846153846155,2806.426470588235
GA5371_A,932.4871165644172,6386.361344537815,26206.103448275862,1255.695652173913,464.2307692307692,665.2615384615384,1139.2941176470588
GA5371_C,2092.006134969325,14327.605042016807,58792.58620689655,2621.4347826086955,1231.1384615384616,1630.9076923076923,2340.764705882353
GA5371_D,1473.0319018404907,10088.411764705883,41397.275862068964,2723.1884057971015,797.4307692307692,1112.123076923077,1245.1029411764705
GA5371_F,742.760736196319,5086.9747899159665,20874.137931034482,1165.7536231884058,427.3076923076923,522.1076923076923,752.1911764705883
GA5401_T,1598.555828220859,10948.09243697479,44924.93103448276,2265.782608695652,774.4769230769231,1341.676923076923,1579.6911764705883
GA5401_V,2838.3055214723927,19438.81512605042,79766.1724137931,3515.0434782608695,1542.9076923076923,2401.4307692307693,3250.6911764705883
GA5401_X,1303.9742331288344,8930.579831932773,36646.1724137931,1779.3188405797102,800.2,1129.753846153846,1205.8823529411766
GA5471_B,1107.4576687116564,7584.689075630252,31123.379310344826,1469.8695652173913,687.5076923076923,1035.8923076923077,1073.5735294117646
GA5471_C,427.3521472392638,2926.823529411765,12010.068965517241,530.7391304347826,250.98461538461538,388.46153846153845,501.4852941176471
GA5471_D,2470.80490797546,16921.899159663866,69438.13793103448,3542.695652173913,1875.0,1944.3384615384616,2185.5
